timestamp,device_id,temperature,humidity
2026-06-24T15:50:25,8C:4F:00:FA:6A:B5,"28,7","90,6"
2026-06-24T15:51:25,8C:4F:00:FA:6A:B5,"28,8","90,6"
2026-06-24T15:52:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T15:53:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T15:54:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T15:55:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T15:56:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T15:57:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T15:58:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T15:59:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T16:00:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T16:01:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T16:02:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T16:03:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T16:04:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T16:05:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T16:06:25,8C:4F:00:FA:6A:B5,"28,8","90,7"
2026-06-24T16:07:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T16:08:25,8C:4F:00:FA:6A:B5,"28,8","90,8"
2026-06-24T16:09:25,8C:4F:00:FA:6A:B5,"28,8","90,6"
2026-06-24T16:10:25,8C:4F:00:FA:6A:B5,"28,8","90,4"
2026-06-24T16:11:25,8C:4F:00:FA:6A:B5,"28,8","90,3"
2026-06-24T16:12:25,8C:4F:00:FA:6A:B5,"28,7","90,3"
2026-06-24T16:13:25,8C:4F:00:FA:6A:B5,"28,8","90,4"
2026-06-24T16:14:25,8C:4F:00:FA:6A:B5,"28,8","90,5"
2026-06-24T16:15:25,8C:4F:00:FA:6A:B5,"28,8","90,5"
2026-06-24T16:16:25,8C:4F:00:FA:6A:B5,"28,8","90,4"
2026-06-24T16:17:25,8C:4F:00:FA:6A:B5,"28,8","90,3"
